,rdf:label
0,13dpg_c
1,2pg_c
2,3pg_c
3,6pgc_c
4,6pgl_c
5,ac_c
6,ac_e
7,acald_c
8,acald_e
9,accoa_c
10,acon_C_c
11,actp_c
12,adp_c
13,akg_c
14,akg_e
15,amp_c
16,atp_c
17,cit_c
18,co2_c
19,co2_e
20,coa_c
21,dhap_c
22,e4p_c
23,etoh_c
24,etoh_e
25,f6p_c
26,fdp_c
27,for_c
28,for_e
29,fru_e
30,fum_c
31,fum_e
32,g3p_c
33,g6p_c
34,glc__D_e
35,gln__L_c
36,gln__L_e
37,glu__L_c
38,glu__L_e
39,glx_c
40,h2o_c
41,h2o_e
42,h_c
43,h_e
44,icit_c
45,lac__D_c
46,lac__D_e
47,mal__L_c
48,mal__L_e
49,nad_c
50,nadh_c
51,nadp_c
52,nadph_c
53,nh4_c
54,nh4_e
55,o2_c
56,o2_e
57,oaa_c
58,pep_c
59,pi_c
60,pi_e
61,pyr_c
62,pyr_e
63,q8_c
64,q8h2_c
65,r5p_c
66,ru5p__D_c
67,s7p_c
68,succ_c
69,succ_e
70,succoa_c
71,xu5p__D_c
