,Name,has_metab,has_reac,has_stoichiometry
0,ACALD?acald_c,acald_c,ACALD,-1.0
1,ACALD?accoa_c,accoa_c,ACALD,1.0
2,ACALD?coa_c,coa_c,ACALD,-1.0
3,ACALD?h_c,h_c,ACALD,1.0
4,ACALD?nad_c,nad_c,ACALD,-1.0
5,ACALD?nadh_c,nadh_c,ACALD,1.0
6,ACALDt?acald_c,acald_c,ACALDt,1.0
7,ACALDt?acald_e,acald_e,ACALDt,-1.0
8,ACKr?ac_c,ac_c,ACKr,-1.0
9,ACKr?actp_c,actp_c,ACKr,1.0
10,ACKr?adp_c,adp_c,ACKr,1.0
11,ACKr?atp_c,atp_c,ACKr,-1.0
12,ACONTa?acon_C_c,acon_C_c,ACONTa,1.0
13,ACONTa?cit_c,cit_c,ACONTa,-1.0
14,ACONTa?h2o_c,h2o_c,ACONTa,1.0
15,ACONTb?acon_C_c,acon_C_c,ACONTb,-1.0
16,ACONTb?h2o_c,h2o_c,ACONTb,-1.0
17,ACONTb?icit_c,icit_c,ACONTb,1.0
18,ACt2r?ac_c,ac_c,ACt2r,1.0
19,ACt2r?ac_e,ac_e,ACt2r,-1.0
20,ACt2r?h_c,h_c,ACt2r,1.0
21,ACt2r?h_e,h_e,ACt2r,-1.0
22,ADK1?adp_c,adp_c,ADK1,2.0
23,ADK1?amp_c,amp_c,ADK1,-1.0
24,ADK1?atp_c,atp_c,ADK1,-1.0
25,AKGDH?akg_c,akg_c,AKGDH,-1.0
26,AKGDH?co2_c,co2_c,AKGDH,1.0
27,AKGDH?coa_c,coa_c,AKGDH,-1.0
28,AKGDH?nad_c,nad_c,AKGDH,-1.0
29,AKGDH?nadh_c,nadh_c,AKGDH,1.0
30,AKGDH?succoa_c,succoa_c,AKGDH,1.0
31,AKGt2r?akg_c,akg_c,AKGt2r,1.0
32,AKGt2r?akg_e,akg_e,AKGt2r,-1.0
33,AKGt2r?h_c,h_c,AKGt2r,1.0
34,AKGt2r?h_e,h_e,AKGt2r,-1.0
35,ALCD2x?acald_c,acald_c,ALCD2x,1.0
36,ALCD2x?etoh_c,etoh_c,ALCD2x,-1.0
37,ALCD2x?h_c,h_c,ALCD2x,1.0
38,ALCD2x?nad_c,nad_c,ALCD2x,-1.0
39,ALCD2x?nadh_c,nadh_c,ALCD2x,1.0
40,ATPM?adp_c,adp_c,ATPM,1.0
41,ATPM?atp_c,atp_c,ATPM,-1.0
42,ATPM?h2o_c,h2o_c,ATPM,-1.0
43,ATPM?h_c,h_c,ATPM,1.0
44,ATPM?pi_c,pi_c,ATPM,1.0
45,ATPS4r?adp_c,adp_c,ATPS4r,-1.0
46,ATPS4r?atp_c,atp_c,ATPS4r,1.0
47,ATPS4r?h2o_c,h2o_c,ATPS4r,1.0
48,ATPS4r?h_c,h_c,ATPS4r,3.0
49,ATPS4r?h_e,h_e,ATPS4r,-4.0
50,ATPS4r?pi_c,pi_c,ATPS4r,-1.0
51,Biomass_Ecoli_core?3pg_c,3pg_c,Biomass_Ecoli_core,-1.496
52,Biomass_Ecoli_core?accoa_c,accoa_c,Biomass_Ecoli_core,-3.7478
53,Biomass_Ecoli_core?adp_c,adp_c,Biomass_Ecoli_core,59.81
54,Biomass_Ecoli_core?akg_c,akg_c,Biomass_Ecoli_core,4.1182
55,Biomass_Ecoli_core?atp_c,atp_c,Biomass_Ecoli_core,-59.81
56,Biomass_Ecoli_core?coa_c,coa_c,Biomass_Ecoli_core,3.7478
57,Biomass_Ecoli_core?e4p_c,e4p_c,Biomass_Ecoli_core,-0.361
58,Biomass_Ecoli_core?f6p_c,f6p_c,Biomass_Ecoli_core,-0.0709
59,Biomass_Ecoli_core?g3p_c,g3p_c,Biomass_Ecoli_core,-0.129
60,Biomass_Ecoli_core?g6p_c,g6p_c,Biomass_Ecoli_core,-0.205
61,Biomass_Ecoli_core?gln__L_c,gln__L_c,Biomass_Ecoli_core,-0.2557
62,Biomass_Ecoli_core?glu__L_c,glu__L_c,Biomass_Ecoli_core,-4.9414
63,Biomass_Ecoli_core?h2o_c,h2o_c,Biomass_Ecoli_core,-59.81
64,Biomass_Ecoli_core?h_c,h_c,Biomass_Ecoli_core,59.81
