[metabolite],metabolitel,st,reaction,reactionl
kg:metabolite_13dpg_c,3-Phospho-D-glyceroyl phosphate,1,kg:reaction_pgk,PGK
kg:metabolite_13dpg_c,3-Phospho-D-glyceroyl phosphate,1,kg:reaction_gapd,GAPD
kg:metabolite_2pg_c,D-Glycerate 2-phosphate,-1,kg:reaction_pgm,PGM
kg:metabolite_2pg_c,D-Glycerate 2-phosphate,-1,kg:reaction_eno,ENO
kg:metabolite_3pg_c,3-Phospho-D-glycerate,1,kg:reaction_pgm,PGM
kg:metabolite_3pg_c,3-Phospho-D-glycerate,-1,kg:reaction_pgk,PGK
kg:metabolite_3pg_c,3-Phospho-D-glycerate,-1.496,kg:reaction_biomass_ecoli_core_w_gam,BIOMASS_Ecoli_core_w_GAM
kg:metabolite_6pgc_c,6-Phospho-D-gluconate,1,kg:reaction_pgl,PGL
kg:metabolite_6pgc_c,6-Phospho-D-gluconate,-1,kg:reaction_gnd,GND
kg:metabolite_6pgl_c,"6-phospho-D-glucono-1,5-lactone",-1,kg:reaction_pgl,PGL
kg:metabolite_6pgl_c,"6-phospho-D-glucono-1,5-lactone",1,kg:reaction_g6pdh2r,G6PDH2r
kg:metabolite_ac_c,Acetate,1,kg:reaction_act2r,ACt2r
kg:metabolite_ac_c,Acetate,-1,kg:reaction_ackr,ACKr
kg:metabolite_ac_e,Acetate,-1,kg:reaction_ex_ac_e,EX_ac_e
kg:metabolite_ac_e,Acetate,-1,kg:reaction_act2r,ACt2r
kg:metabolite_acald_c,Acetaldehyde,1,kg:reaction_alcd2x,ALCD2x
kg:metabolite_acald_c,Acetaldehyde,1,kg:reaction_acaldt,ACALDt
kg:metabolite_acald_c,Acetaldehyde,-1,kg:reaction_acald,ACALD
kg:metabolite_acald_e,Acetaldehyde,-1,kg:reaction_ex_acald_e,EX_acald_e
kg:metabolite_acald_e,Acetaldehyde,-1,kg:reaction_acaldt,ACALDt
kg:metabolite_accoa_c,Acetyl-CoA,-1,kg:reaction_ptar,PTAr
kg:metabolite_accoa_c,Acetyl-CoA,1,kg:reaction_pdh,PDH
kg:metabolite_accoa_c,Acetyl-CoA,-1,kg:reaction_mals,MALS
kg:metabolite_accoa_c,Acetyl-CoA,-1,kg:reaction_cs,CS
kg:metabolite_accoa_c,Acetyl-CoA,-3.7478,kg:reaction_biomass_ecoli_core_w_gam,BIOMASS_Ecoli_core_w_GAM
kg:metabolite_accoa_c,Acetyl-CoA,1,kg:reaction_acald,ACALD
kg:metabolite_actp_c,Acetyl phosphate,1,kg:reaction_ptar,PTAr
kg:metabolite_actp_c,Acetyl phosphate,1,kg:reaction_ackr,ACKr
kg:metabolite_adp_c,ADP C10H12N5O10P2,1,kg:reaction_ackr,ACKr
kg:metabolite_adp_c,ADP C10H12N5O10P2,1,kg:reaction_glnabc,GLNabc
kg:metabolite_adp_c,ADP C10H12N5O10P2,-1,kg:reaction_pyk,PYK
kg:metabolite_adp_c,ADP C10H12N5O10P2,59.81,kg:reaction_biomass_ecoli_core_w_gam,BIOMASS_Ecoli_core_w_GAM
kg:metabolite_adp_c,ADP C10H12N5O10P2,1,kg:reaction_sucoas,SUCOAS
kg:metabolite_adp_c,ADP C10H12N5O10P2,2,kg:reaction_adk1,ADK1
kg:metabolite_adp_c,ADP C10H12N5O10P2,1,kg:reaction_pgk,PGK
kg:metabolite_adp_c,ADP C10H12N5O10P2,1,kg:reaction_glns,GLNS
kg:metabolite_adp_c,ADP C10H12N5O10P2,-1,kg:reaction_atps4r,ATPS4r
kg:metabolite_adp_c,ADP C10H12N5O10P2,1,kg:reaction_atpm,ATPM
kg:metabolite_akg_c,2-Oxoglutarate,1,kg:reaction_icdhyr,ICDHyr
kg:metabolite_akg_c,2-Oxoglutarate,-1,kg:reaction_glusy,GLUSy
kg:metabolite_akg_c,2-Oxoglutarate,1,kg:reaction_gludy,GLUDy
kg:metabolite_akg_c,2-Oxoglutarate,4.1182,kg:reaction_biomass_ecoli_core_w_gam,BIOMASS_Ecoli_core_w_GAM
kg:metabolite_akg_c,2-Oxoglutarate,1,kg:reaction_akgt2r,AKGt2r
kg:metabolite_akg_c,2-Oxoglutarate,-1,kg:reaction_akgdh,AKGDH
kg:metabolite_akg_e,2-Oxoglutarate,-1,kg:reaction_ex_akg_e,EX_akg_e
