[reaction],reactionl,lb,ub,metabolites
kg:reaction_acald,ACALD,-1000,1000,Acetyl-CoA|Coenzyme A|Acetaldehyde|Nicotinamide adenine dinucleotide|H+|Nicotinamide adenine dinucleotide - reduced
kg:reaction_acaldt,ACALDt,-1000,1000,Acetaldehyde|Acetaldehyde
kg:reaction_ackr,ACKr,-1000,1000,ADP C10H12N5O10P2|Acetyl phosphate|ATP C10H12N5O13P3|Acetate
kg:reaction_aconta,ACONTa,-1000,1000,H2O H2O|Citrate
kg:reaction_acontb,ACONTb,-1000,1000,H2O H2O|Isocitrate
kg:reaction_act2r,ACt2r,-1000,1000,H+|Acetate|Acetate|H+
kg:reaction_adk1,ADK1,-1000,1000,ADP C10H12N5O10P2|ATP C10H12N5O13P3|AMP C10H12N5O7P
kg:reaction_akgdh,AKGDH,0,1000,Nicotinamide adenine dinucleotide - reduced|Nicotinamide adenine dinucleotide|Coenzyme A|CO2 CO2|Succinyl-CoA|2-Oxoglutarate
kg:reaction_akgt2r,AKGt2r,-1000,1000,2-Oxoglutarate|H+|H+|2-Oxoglutarate
kg:reaction_alcd2x,ALCD2x,-1000,1000,Nicotinamide adenine dinucleotide - reduced|Nicotinamide adenine dinucleotide|H+|Ethanol|Acetaldehyde
kg:reaction_atpm,ATPM,8.39,1000,Phosphate|ATP C10H12N5O13P3|H+|ADP C10H12N5O10P2|H2O H2O
kg:reaction_atps4r,ATPS4r,-1000,1000,ATP C10H12N5O13P3|H+|Phosphate|H2O H2O|ADP C10H12N5O10P2|H+
kg:reaction_biomass_ecoli_core_w_gam,BIOMASS_Ecoli_core_w_GAM,0,1000,Glyceraldehyde 3-phosphate|Coenzyme A|Phosphoenolpyruvate|Alpha-D-Ribose 5-phosphate|Oxaloacetate|3-Phospho-D-glycerate|H2O H2O|ATP C10H12N5O13P3|D-Erythrose 4-phosphate|ADP C10H12N5O10P2|D-Fructose 6-phosphate|Pyruvate|Nicotinamide adenine dinucleotide phosphate|H+|D-Glucose 6-phosphate|Acetyl-CoA|Phosphate|2-Oxoglutarate|Nicotinamide adenine dinucleotide|Nicotinamide adenine dinucleotide - reduced|Nicotinamide adenine dinucleotide phosphate - reduced
kg:reaction_co2t,CO2t,-1000,1000,CO2 CO2|CO2 CO2
kg:reaction_cs,CS,0,1000,Acetyl-CoA|H2O H2O|H+|Citrate|Coenzyme A|Oxaloacetate
kg:reaction_cytbd,CYTBD,0,1000,O2 O2|H+|H+|H2O H2O|Ubiquinol-8|Ubiquinone-8
kg:reaction_d_lact2,D_LACt2,-1000,1000,H+|H+
kg:reaction_eno,ENO,-1000,1000,D-Glycerate 2-phosphate|H2O H2O|Phosphoenolpyruvate
kg:reaction_etoht2r,ETOHt2r,-1000,1000,H+|Ethanol|H+|Ethanol
kg:reaction_ex_ac_e,EX_ac_e,0,1000,Acetate
kg:reaction_ex_acald_e,EX_acald_e,0,1000,Acetaldehyde
kg:reaction_ex_akg_e,EX_akg_e,0,1000,2-Oxoglutarate
kg:reaction_ex_co2_e,EX_co2_e,-1000,1000,CO2 CO2
