s,o
reaction_acald,metabolite_acald_c
reaction_acald,metabolite_coa_c
reaction_acald,metabolite_nad_c
reaction_acaldt,metabolite_acald_e
reaction_ackr,metabolite_ac_c
reaction_ackr,metabolite_atp_c
reaction_aconta,metabolite_cit_c
reaction_acontb,metabolite_h2o_c
reaction_act2r,metabolite_ac_e
reaction_act2r,metabolite_h_e
reaction_adk1,metabolite_atp_c
reaction_adk1,metabolite_amp_c
reaction_akgdh,metabolite_coa_c
reaction_akgdh,metabolite_nad_c
reaction_akgdh,metabolite_akg_c
reaction_akgt2r,metabolite_h_e
reaction_akgt2r,metabolite_akg_e
reaction_alcd2x,metabolite_nad_c
reaction_alcd2x,metabolite_etoh_c
reaction_atpm,metabolite_atp_c
reaction_atpm,metabolite_h2o_c
reaction_atps4r,metabolite_adp_c
reaction_atps4r,metabolite_pi_c
reaction_co2t,metabolite_co2_e
reaction_cs,metabolite_accoa_c
reaction_cs,metabolite_h2o_c
reaction_cs,metabolite_oaa_c
reaction_cytbd,metabolite_q8h2_c
reaction_d_lact2,metabolite_h_e
reaction_eno,metabolite_2pg_c
reaction_etoht2r,metabolite_h_e
reaction_etoht2r,metabolite_etoh_e
reaction_fba,metabolite_fdp_c
reaction_fbp,metabolite_h2o_c
reaction_fbp,metabolite_fdp_c
reaction_fort,metabolite_for_e
reaction_fort2,metabolite_h_e
reaction_fort2,metabolite_for_e
reaction_frd7,metabolite_q8h2_c
reaction_frd7,metabolite_fum_c
reaction_frupts2,metabolite_pep_c
reaction_frupts2,metabolite_fru_e
reaction_fum,metabolite_h2o_c
reaction_fum,metabolite_fum_c
reaction_fumt2_2,metabolite_fum_e
reaction_g6pdh2r,metabolite_g6p_c
reaction_g6pdh2r,metabolite_nadp_c
reaction_gapd,metabolite_nad_c
reaction_gapd,metabolite_pi_c
reaction_gapd,metabolite_g3p_c
reaction_glcpts,metabolite_pep_c
reaction_glnabc,metabolite_atp_c
reaction_glnabc,metabolite_h2o_c
reaction_glns,metabolite_atp_c
reaction_glns,metabolite_nh4_c
reaction_gludy,metabolite_h2o_c
reaction_gludy,metabolite_nadp_c
reaction_glun,metabolite_h2o_c
reaction_glusy,metabolite_h_c
reaction_glusy,metabolite_akg_c
reaction_glusy,metabolite_nadph_c
reaction_glut2r,metabolite_h_e
reaction_gnd,metabolite_nadp_c
reaction_gnd,metabolite_6pgc_c
reaction_h2ot,metabolite_h2o_e
reaction_icdhyr,metabolite_icit_c
reaction_icdhyr,metabolite_nadp_c
reaction_icl,metabolite_icit_c
reaction_ldh_d,metabolite_nad_c
reaction_mals,metabolite_accoa_c
reaction_mals,metabolite_h2o_c
reaction_mals,metabolite_f6p_c
reaction_mdh,metabolite_nad_c
reaction_me1,metabolite_nad_c
reaction_me2,metabolite_nadp_c
reaction_nadh16,metabolite_nadh_c
reaction_nadh16,metabolite_q8_c
reaction_nadtrhd,metabolite_nad_c
reaction_nadtrhd,metabolite_nadph_c
reaction_nh4t,metabolite_nh4_e
reaction_o2t,metabolite_o2_e
reaction_pdh,metabolite_coa_c
reaction_pdh,metabolite_nad_c
reaction_pdh,metabolite_pyr_c
reaction_pgi,metabolite_g6p_c
reaction_pgk,metabolite_atp_c
reaction_pgk,metabolite_3pg_c
reaction_pgl,metabolite_h2o_c
reaction_pgl,metabolite_6pgl_c
reaction_pgm,metabolite_2pg_c
reaction_pit2r,metabolite_h_e
reaction_pit2r,metabolite_pi_e
reaction_ppc,metabolite_h2o_c
reaction_ppc,metabolite_co2_c
reaction_ppc,metabolite_pep_c
reaction_pps,metabolite_atp_c
reaction_pps,metabolite_h2o_c
reaction_pps,metabolite_pyr_c
reaction_ptar,metabolite_accoa_c
reaction_ptar,metabolite_pi_c
reaction_pyk,metabolite_h_c
reaction_pyk,metabolite_adp_c
reaction_pyk,metabolite_pep_c
reaction_pyrt2,metabolite_h_e
reaction_pyrt2,metabolite_pyr_e
reaction_rpi,metabolite_r5p_c
reaction_succt2_2,metabolite_succ_e
reaction_succt3,metabolite_h_e
reaction_succt3,metabolite_succ_c
reaction_sucdi,metabolite_q8_c
reaction_sucdi,metabolite_succ_c
reaction_sucoas,metabolite_coa_c
reaction_sucoas,metabolite_atp_c
reaction_sucoas,metabolite_succ_c
reaction_tala,metabolite_g3p_c
reaction_tala,metabolite_s7p_c
reaction_thd2,metabolite_nadh_c
reaction_thd2,metabolite_nadp_c
reaction_tkt1,metabolite_r5p_c
reaction_tkt2,metabolite_e4p_c
reaction_tpi,metabolite_dhap_c
reaction_acald,metabolite_accoa_c
reaction_acald,metabolite_h_c
reaction_acald,metabolite_nadh_c
reaction_acaldt,metabolite_acald_c
reaction_ackr,metabolite_actp_c
reaction_ackr,metabolite_adp_c
reaction_aconta,metabolite_acon_C_c
reaction_aconta,metabolite_h2o_c
reaction_acontb,metabolite_icit_c
reaction_act2r,metabolite_h_c
reaction_act2r,metabolite_ac_c
reaction_adk1,metabolite_adp_c
reaction_akgdh,metabolite_nadh_c
reaction_akgdh,metabolite_co2_c
reaction_akgdh,metabolite_succoa_c
reaction_akgt2r,metabolite_h_c
reaction_akgt2r,metabolite_akg_c
reaction_alcd2x,metabolite_acald_c
reaction_alcd2x,metabolite_h_c
reaction_alcd2x,metabolite_nadh_c
reaction_atpm,metabolite_h_c
reaction_atpm,metabolite_adp_c
reaction_atpm,metabolite_pi_c
reaction_atps4r,metabolite_h_c
reaction_atps4r,metabolite_atp_c
reaction_atps4r,metabolite_h2o_c
reaction_co2t,metabolite_co2_c
reaction_cs,metabolite_coa_c
reaction_cs,metabolite_h_c
reaction_cs,metabolite_cit_c
reaction_cytbd,metabolite_h2o_c
reaction_cytbd,metabolite_h_e
reaction_cytbd,metabolite_q8_c
reaction_d_lact2,metabolite_h_c
reaction_d_lact2,metabolite_lac__D_c
reaction_eno,metabolite_h2o_c
reaction_eno,metabolite_pep_c
reaction_etoht2r,metabolite_h_c
reaction_etoht2r,metabolite_etoh_c
reaction_fba,metabolite_g3p_c
reaction_fba,metabolite_dhap_c
reaction_fbp,metabolite_pi_c
reaction_fbp,metabolite_f6p_c
reaction_fort,metabolite_for_c
reaction_fort2,metabolite_h_c
reaction_fort2,metabolite_for_c
reaction_frd7,metabolite_q8_c
reaction_frd7,metabolite_succ_c
reaction_frupts2,metabolite_f6p_c
reaction_frupts2,metabolite_pyr_c
reaction_fum,metabolite_mal__L_c
reaction_fumt2_2,metabolite_h_c
reaction_fumt2_2,metabolite_fum_c
reaction_g6pdh2r,metabolite_h_c
reaction_g6pdh2r,metabolite_nadph_c
reaction_g6pdh2r,metabolite_6pgl_c
reaction_gapd,metabolite_h_c
reaction_gapd,metabolite_nadh_c
reaction_gapd,metabolite_13dpg_c
reaction_glcpts,metabolite_g6p_c
reaction_glcpts,metabolite_pyr_c
reaction_glnabc,metabolite_h_c
reaction_glnabc,metabolite_adp_c
reaction_glnabc,metabolite_pi_c
reaction_glnabc,metabolite_gln__L_c
reaction_glns,metabolite_h_c
reaction_glns,metabolite_adp_c
reaction_glns,metabolite_pi_c
reaction_glns,metabolite_gln__L_c
reaction_gludy,metabolite_h_c
reaction_gludy,metabolite_akg_c
reaction_gludy,metabolite_nadph_c
reaction_gludy,metabolite_nh4_c
reaction_glun,metabolite_glu__L_c
reaction_glun,metabolite_nh4_c
reaction_glusy,metabolite_glu__L_c
reaction_glusy,metabolite_nadp_c
reaction_glut2r,metabolite_h_c
reaction_glut2r,metabolite_glu__L_c
reaction_gnd,metabolite_co2_c
reaction_gnd,metabolite_nadph_c
reaction_gnd,metabolite_ru5p__D_c
reaction_h2ot,metabolite_h2o_c
reaction_icdhyr,metabolite_akg_c
reaction_icdhyr,metabolite_co2_c
reaction_icdhyr,metabolite_nadph_c
reaction_icl,metabolite_f6p_c
reaction_icl,metabolite_succ_c
reaction_ldh_d,metabolite_h_c
reaction_ldh_d,metabolite_nadh_c
reaction_ldh_d,metabolite_pyr_c
reaction_mals,metabolite_coa_c
reaction_mals,metabolite_h_c
reaction_mals,metabolite_mal__L_c
reaction_mdh,metabolite_h_c
reaction_mdh,metabolite_nadh_c
reaction_mdh,metabolite_oaa_c
reaction_me1,metabolite_nadh_c
reaction_me1,metabolite_co2_c
reaction_me1,metabolite_pyr_c
reaction_me2,metabolite_co2_c
reaction_me2,metabolite_nadph_c
reaction_me2,metabolite_pyr_c
reaction_nadh16,metabolite_nad_c
reaction_nadh16,metabolite_h_e
reaction_nadh16,metabolite_q8h2_c
reaction_nadtrhd,metabolite_nadh_c
reaction_nadtrhd,metabolite_nadp_c
reaction_nh4t,metabolite_nh4_c
reaction_o2t,metabolite_o2_c
reaction_pdh,metabolite_accoa_c
reaction_pdh,metabolite_nadh_c
reaction_pdh,metabolite_co2_c
reaction_pgi,metabolite_f6p_c
reaction_pgk,metabolite_adp_c
reaction_pgk,metabolite_13dpg_c
reaction_pgl,metabolite_h_c
reaction_pgl,metabolite_6pgc_c
reaction_pgm,metabolite_3pg_c
reaction_pit2r,metabolite_h_c
reaction_pit2r,metabolite_pi_c
reaction_ppc,metabolite_h_c
reaction_ppc,metabolite_pi_c
reaction_ppc,metabolite_oaa_c
reaction_pps,metabolite_h_c
reaction_pps,metabolite_amp_c
reaction_pps,metabolite_pi_c
reaction_pps,metabolite_pep_c
reaction_ptar,metabolite_coa_c
reaction_ptar,metabolite_actp_c
reaction_pyk,metabolite_atp_c
reaction_pyk,metabolite_pyr_c
reaction_pyrt2,metabolite_h_c
reaction_pyrt2,metabolite_pyr_c
reaction_rpi,metabolite_ru5p__D_c
reaction_succt2_2,metabolite_h_c
reaction_succt2_2,metabolite_succ_c
reaction_succt3,metabolite_h_c
reaction_succt3,metabolite_succ_e
reaction_sucdi,metabolite_q8h2_c
reaction_sucdi,metabolite_fum_c
reaction_sucoas,metabolite_adp_c
reaction_sucoas,metabolite_succoa_c
reaction_sucoas,metabolite_pi_c
reaction_tala,metabolite_e4p_c
reaction_tala,metabolite_f6p_c
reaction_thd2,metabolite_h_c
reaction_thd2,metabolite_nad_c
reaction_thd2,metabolite_nadph_c
reaction_tkt1,metabolite_g3p_c
reaction_tkt1,metabolite_s7p_c
reaction_tkt2,metabolite_f6p_c
reaction_tkt2,metabolite_g3p_c
reaction_tpi,metabolite_g3p_c
reaction_acald,reaction_cs
reaction_acald,reaction_glusy
reaction_acald,reaction_mals
reaction_acald,reaction_nadh16
reaction_acald,reaction_ptar
reaction_acald,reaction_pyk
reaction_acald,reaction_thd2
reaction_acaldt,reaction_acald
reaction_ackr,reaction_atps4r
reaction_ackr,reaction_pyk
reaction_aconta,reaction_acontb
reaction_aconta,reaction_atpm
reaction_aconta,reaction_cs
reaction_aconta,reaction_fbp
reaction_aconta,reaction_fum
reaction_aconta,reaction_glnabc
reaction_aconta,reaction_gludy
reaction_aconta,reaction_glun
reaction_aconta,reaction_mals
reaction_aconta,reaction_pgl
reaction_aconta,reaction_ppc
reaction_aconta,reaction_pps
reaction_acontb,reaction_icdhyr
reaction_acontb,reaction_icl
reaction_act2r,reaction_ackr
reaction_act2r,reaction_glusy
reaction_act2r,reaction_pyk
reaction_adk1,reaction_atps4r
reaction_adk1,reaction_pyk
reaction_akgdh,reaction_nadh16
reaction_akgdh,reaction_ppc
reaction_akgdh,reaction_thd2
reaction_akgt2r,reaction_akgdh
reaction_akgt2r,reaction_glusy
reaction_akgt2r,reaction_pyk
reaction_alcd2x,reaction_acald
reaction_alcd2x,reaction_glusy
reaction_alcd2x,reaction_nadh16
reaction_alcd2x,reaction_pyk
reaction_alcd2x,reaction_thd2
reaction_atpm,reaction_atps4r
reaction_atpm,reaction_gapd
reaction_atpm,reaction_glusy
reaction_atpm,reaction_ptar
reaction_atpm,reaction_pyk
reaction_atps4r,reaction_ackr
reaction_atps4r,reaction_acontb
reaction_atps4r,reaction_adk1
reaction_atps4r,reaction_atpm
reaction_atps4r,reaction_cs
reaction_atps4r,reaction_fbp
reaction_atps4r,reaction_fum
reaction_atps4r,reaction_glnabc
reaction_atps4r,reaction_glns
reaction_atps4r,reaction_gludy
reaction_atps4r,reaction_glun
reaction_atps4r,reaction_glusy
reaction_atps4r,reaction_mals
reaction_atps4r,reaction_pgk
reaction_atps4r,reaction_pgl
reaction_atps4r,reaction_ppc
reaction_atps4r,reaction_pps
reaction_atps4r,reaction_pyk
reaction_atps4r,reaction_sucoas
reaction_co2t,reaction_ppc
reaction_cs,reaction_acald
reaction_cs,reaction_aconta
reaction_cs,reaction_akgdh
reaction_cs,reaction_glusy
reaction_cs,reaction_pdh
reaction_cs,reaction_pyk
reaction_cs,reaction_sucoas
reaction_cytbd,reaction_acontb
reaction_cytbd,reaction_act2r
reaction_cytbd,reaction_akgt2r
reaction_cytbd,reaction_atpm
reaction_cytbd,reaction_cs
reaction_cytbd,reaction_d_lact2
reaction_cytbd,reaction_etoht2r
reaction_cytbd,reaction_fbp
reaction_cytbd,reaction_fort2
reaction_cytbd,reaction_fum
reaction_cytbd,reaction_glnabc
reaction_cytbd,reaction_gludy
reaction_cytbd,reaction_glun
reaction_cytbd,reaction_glut2r
reaction_cytbd,reaction_mals
reaction_cytbd,reaction_nadh16
reaction_cytbd,reaction_pgl
reaction_cytbd,reaction_pit2r
reaction_cytbd,reaction_ppc
reaction_cytbd,reaction_pps
reaction_cytbd,reaction_pyrt2
reaction_cytbd,reaction_succt3
reaction_cytbd,reaction_sucdi
reaction_d_lact2,reaction_glusy
reaction_d_lact2,reaction_pyk
reaction_eno,reaction_acontb
reaction_eno,reaction_atpm
reaction_eno,reaction_cs
reaction_eno,reaction_fbp
reaction_eno,reaction_frupts2
reaction_eno,reaction_fum
reaction_eno,reaction_glcpts
reaction_eno,reaction_glnabc
reaction_eno,reaction_gludy
reaction_eno,reaction_glun
reaction_eno,reaction_mals
reaction_eno,reaction_pgl
reaction_eno,reaction_ppc
reaction_eno,reaction_pps
reaction_eno,reaction_pyk
reaction_etoht2r,reaction_alcd2x
reaction_etoht2r,reaction_glusy
reaction_etoht2r,reaction_pyk
reaction_fba,reaction_gapd
reaction_fba,reaction_tala
reaction_fba,reaction_tpi
reaction_fbp,reaction_atps4r
reaction_fbp,reaction_gapd
reaction_fbp,reaction_mals
reaction_fbp,reaction_ptar
reaction_fort2,reaction_glusy
reaction_fort2,reaction_pyk
reaction_frd7,reaction_nadh16
reaction_frd7,reaction_succt3
reaction_frd7,reaction_sucdi
reaction_frd7,reaction_sucoas
reaction_frupts2,reaction_mals
reaction_frupts2,reaction_pdh
reaction_frupts2,reaction_pps
reaction_fumt2_2,reaction_frd7
reaction_fumt2_2,reaction_fum
reaction_fumt2_2,reaction_glusy
reaction_fumt2_2,reaction_pyk
reaction_g6pdh2r,reaction_glusy
reaction_g6pdh2r,reaction_nadtrhd
reaction_g6pdh2r,reaction_pgl
reaction_g6pdh2r,reaction_pyk
reaction_gapd,reaction_glusy
reaction_gapd,reaction_nadh16
reaction_gapd,reaction_pyk
reaction_gapd,reaction_thd2
reaction_glcpts,reaction_g6pdh2r
reaction_glcpts,reaction_pdh
reaction_glcpts,reaction_pgi
reaction_glcpts,reaction_pps
reaction_glnabc,reaction_atps4r
reaction_glnabc,reaction_gapd
reaction_glnabc,reaction_glusy
reaction_glnabc,reaction_ptar
reaction_glnabc,reaction_pyk
reaction_glns,reaction_atps4r
reaction_glns,reaction_gapd
reaction_glns,reaction_glusy
reaction_glns,reaction_ptar
reaction_glns,reaction_pyk
reaction_gludy,reaction_akgdh
reaction_gludy,reaction_glns
reaction_gludy,reaction_glusy
reaction_gludy,reaction_nadtrhd
reaction_gludy,reaction_pyk
reaction_glun,reaction_glns
reaction_glusy,reaction_g6pdh2r
reaction_glusy,reaction_gludy
reaction_glusy,reaction_gnd
reaction_glusy,reaction_icdhyr
reaction_glusy,reaction_me2
reaction_glusy,reaction_thd2
reaction_glut2r,reaction_glusy
reaction_glut2r,reaction_pyk
reaction_gnd,reaction_glusy
reaction_gnd,reaction_nadtrhd
reaction_gnd,reaction_ppc
reaction_h2ot,reaction_acontb
reaction_h2ot,reaction_atpm
reaction_h2ot,reaction_cs
reaction_h2ot,reaction_fbp
reaction_h2ot,reaction_fum
reaction_h2ot,reaction_glnabc
reaction_h2ot,reaction_gludy
reaction_h2ot,reaction_glun
reaction_h2ot,reaction_mals
reaction_h2ot,reaction_pgl
reaction_h2ot,reaction_ppc
reaction_h2ot,reaction_pps
reaction_icdhyr,reaction_akgdh
reaction_icdhyr,reaction_glusy
reaction_icdhyr,reaction_nadtrhd
reaction_icdhyr,reaction_ppc
reaction_icl,reaction_mals
reaction_icl,reaction_succt3
reaction_icl,reaction_sucdi
reaction_icl,reaction_sucoas
reaction_ldh_d,reaction_glusy
reaction_ldh_d,reaction_nadh16
reaction_ldh_d,reaction_pdh
reaction_ldh_d,reaction_pps
reaction_ldh_d,reaction_pyk
reaction_ldh_d,reaction_thd2
reaction_mals,reaction_acald
reaction_mals,reaction_akgdh
reaction_mals,reaction_glusy
reaction_mals,reaction_pdh
reaction_mals,reaction_pyk
reaction_mals,reaction_sucoas
reaction_mdh,reaction_cs
reaction_mdh,reaction_glusy
reaction_mdh,reaction_nadh16
reaction_mdh,reaction_pyk
reaction_mdh,reaction_thd2
reaction_me1,reaction_nadh16
reaction_me1,reaction_pdh
reaction_me1,reaction_ppc
reaction_me1,reaction_pps
reaction_me1,reaction_thd2
reaction_me2,reaction_glusy
reaction_me2,reaction_nadtrhd
reaction_me2,reaction_pdh
reaction_me2,reaction_ppc
reaction_me2,reaction_pps
reaction_nadh16,reaction_acald
reaction_nadh16,reaction_act2r
reaction_nadh16,reaction_akgdh
reaction_nadh16,reaction_akgt2r
reaction_nadh16,reaction_alcd2x
reaction_nadh16,reaction_cytbd
reaction_nadh16,reaction_d_lact2
reaction_nadh16,reaction_etoht2r
reaction_nadh16,reaction_fort2
reaction_nadh16,reaction_frd7
reaction_nadh16,reaction_gapd
reaction_nadh16,reaction_glut2r
reaction_nadh16,reaction_ldh_d
reaction_nadh16,reaction_mdh
reaction_nadh16,reaction_me1
reaction_nadh16,reaction_nadtrhd
reaction_nadh16,reaction_pdh
reaction_nadh16,reaction_pit2r
reaction_nadh16,reaction_pyrt2
reaction_nadh16,reaction_succt3
reaction_nadtrhd,reaction_g6pdh2r
reaction_nadtrhd,reaction_gludy
reaction_nadtrhd,reaction_gnd
reaction_nadtrhd,reaction_icdhyr
reaction_nadtrhd,reaction_me2
reaction_nadtrhd,reaction_nadh16
reaction_nadtrhd,reaction_thd2
reaction_nh4t,reaction_glns
reaction_pdh,reaction_cs
reaction_pdh,reaction_mals
reaction_pdh,reaction_nadh16
reaction_pdh,reaction_ppc
reaction_pdh,reaction_ptar
reaction_pdh,reaction_thd2
reaction_pgi,reaction_mals
reaction_pgk,reaction_atps4r
reaction_pgk,reaction_pyk
reaction_pgl,reaction_glusy
reaction_pgl,reaction_gnd
reaction_pgl,reaction_pyk
reaction_pgm,reaction_pgk
reaction_pit2r,reaction_atps4r
reaction_pit2r,reaction_gapd
reaction_pit2r,reaction_glusy
reaction_pit2r,reaction_ptar
reaction_pit2r,reaction_pyk
reaction_ppc,reaction_atps4r
reaction_ppc,reaction_cs
reaction_ppc,reaction_gapd
reaction_ppc,reaction_glusy
reaction_ppc,reaction_ptar
reaction_ppc,reaction_pyk
reaction_pps,reaction_adk1
reaction_pps,reaction_atps4r
reaction_pps,reaction_frupts2
reaction_pps,reaction_gapd
reaction_pps,reaction_glcpts
reaction_pps,reaction_glusy
reaction_pps,reaction_ppc
reaction_pps,reaction_ptar
reaction_pps,reaction_pyk
reaction_ptar,reaction_acald
reaction_ptar,reaction_akgdh
reaction_ptar,reaction_pdh
reaction_ptar,reaction_sucoas
reaction_pyk,reaction_ackr
reaction_pyk,reaction_adk1
reaction_pyk,reaction_atpm
reaction_pyk,reaction_glnabc
reaction_pyk,reaction_glns
reaction_pyk,reaction_pdh
reaction_pyk,reaction_pgk
reaction_pyk,reaction_pps
reaction_pyk,reaction_sucoas
reaction_pyrt2,reaction_glusy
reaction_pyrt2,reaction_pdh
reaction_pyrt2,reaction_pps
reaction_pyrt2,reaction_pyk
reaction_succt2_2,reaction_glusy
reaction_succt2_2,reaction_pyk
reaction_succt2_2,reaction_succt3
reaction_succt2_2,reaction_sucdi
reaction_succt2_2,reaction_sucoas
reaction_succt3,reaction_glusy
reaction_succt3,reaction_pyk
reaction_succt3,reaction_succt2_2
reaction_sucdi,reaction_cytbd
reaction_sucdi,reaction_frd7
reaction_sucdi,reaction_fum
reaction_sucoas,reaction_atps4r
reaction_sucoas,reaction_gapd
reaction_sucoas,reaction_ptar
reaction_sucoas,reaction_pyk
reaction_tala,reaction_mals
reaction_tala,reaction_tkt2
reaction_thd2,reaction_acald
reaction_thd2,reaction_akgdh
reaction_thd2,reaction_alcd2x
reaction_thd2,reaction_gapd
reaction_thd2,reaction_glusy
reaction_thd2,reaction_ldh_d
reaction_thd2,reaction_mdh
reaction_thd2,reaction_me1
reaction_thd2,reaction_nadtrhd
reaction_thd2,reaction_pdh
reaction_thd2,reaction_pyk
reaction_tkt1,reaction_gapd
reaction_tkt1,reaction_tala
reaction_tkt2,reaction_gapd
reaction_tkt2,reaction_mals
reaction_tkt2,reaction_tala
reaction_tpi,reaction_gapd
reaction_tpi,reaction_tala
