s;o
kg:reaction_acald;kg:reaction_cs
kg:reaction_acald;kg:reaction_mals
kg:reaction_acald;kg:reaction_ptar
kg:reaction_acald;kg:reaction_glusy
kg:reaction_acald;kg:reaction_pyk
kg:reaction_acald;kg:reaction_nadh16
kg:reaction_acald;kg:reaction_thd2
kg:reaction_acaldt;kg:reaction_acald
kg:reaction_ackr;kg:reaction_atps4r
kg:reaction_ackr;kg:reaction_pyk
kg:reaction_aconta;kg:reaction_acontb
kg:reaction_aconta;kg:reaction_atpm
kg:reaction_aconta;kg:reaction_cs
kg:reaction_aconta;kg:reaction_fbp
kg:reaction_aconta;kg:reaction_fum
kg:reaction_aconta;kg:reaction_glnabc
kg:reaction_aconta;kg:reaction_gludy
kg:reaction_aconta;kg:reaction_glun
kg:reaction_aconta;kg:reaction_mals
kg:reaction_aconta;kg:reaction_pgl
kg:reaction_aconta;kg:reaction_ppc
kg:reaction_aconta;kg:reaction_pps
kg:reaction_acontb;kg:reaction_icdhyr
kg:reaction_acontb;kg:reaction_icl
kg:reaction_act2r;kg:reaction_glusy
kg:reaction_act2r;kg:reaction_pyk
kg:reaction_act2r;kg:reaction_ackr
kg:reaction_adk1;kg:reaction_atps4r
kg:reaction_adk1;kg:reaction_pyk
kg:reaction_akgdh;kg:reaction_nadh16
kg:reaction_akgdh;kg:reaction_thd2
kg:reaction_akgdh;kg:reaction_ppc
kg:reaction_akgt2r;kg:reaction_glusy
kg:reaction_akgt2r;kg:reaction_pyk
kg:reaction_akgt2r;kg:reaction_akgdh
kg:reaction_akgt2r;kg:reaction_glusy
kg:reaction_alcd2x;kg:reaction_acald
kg:reaction_alcd2x;kg:reaction_glusy
kg:reaction_alcd2x;kg:reaction_pyk
kg:reaction_alcd2x;kg:reaction_nadh16
kg:reaction_alcd2x;kg:reaction_thd2
kg:reaction_atpm;kg:reaction_glusy
kg:reaction_atpm;kg:reaction_pyk
kg:reaction_atpm;kg:reaction_atps4r
kg:reaction_atpm;kg:reaction_pyk
kg:reaction_atpm;kg:reaction_atps4r
kg:reaction_atpm;kg:reaction_gapd
kg:reaction_atpm;kg:reaction_ptar
kg:reaction_atps4r;kg:reaction_glusy
kg:reaction_atps4r;kg:reaction_pyk
kg:reaction_atps4r;kg:reaction_ackr
kg:reaction_atps4r;kg:reaction_adk1
kg:reaction_atps4r;kg:reaction_atpm
kg:reaction_atps4r;kg:reaction_glnabc
kg:reaction_atps4r;kg:reaction_glns
kg:reaction_atps4r;kg:reaction_pgk
kg:reaction_atps4r;kg:reaction_pps
kg:reaction_atps4r;kg:reaction_sucoas
kg:reaction_atps4r;kg:reaction_acontb
kg:reaction_atps4r;kg:reaction_atpm
kg:reaction_atps4r;kg:reaction_cs
kg:reaction_atps4r;kg:reaction_fbp
kg:reaction_atps4r;kg:reaction_fum
kg:reaction_atps4r;kg:reaction_glnabc
kg:reaction_atps4r;kg:reaction_gludy
kg:reaction_atps4r;kg:reaction_glun
kg:reaction_atps4r;kg:reaction_mals
kg:reaction_atps4r;kg:reaction_pgl
kg:reaction_atps4r;kg:reaction_ppc
kg:reaction_atps4r;kg:reaction_pps
kg:reaction_co2t;kg:reaction_ppc
kg:reaction_cs;kg:reaction_acald
kg:reaction_cs;kg:reaction_akgdh
kg:reaction_cs;kg:reaction_pdh
kg:reaction_cs;kg:reaction_sucoas
kg:reaction_cs;kg:reaction_glusy
kg:reaction_cs;kg:reaction_pyk
kg:reaction_cs;kg:reaction_aconta
kg:reaction_cytbd;kg:reaction_acontb
kg:reaction_cytbd;kg:reaction_atpm
kg:reaction_cytbd;kg:reaction_cs
kg:reaction_cytbd;kg:reaction_fbp
kg:reaction_cytbd;kg:reaction_fum
kg:reaction_cytbd;kg:reaction_glnabc
kg:reaction_cytbd;kg:reaction_gludy
kg:reaction_cytbd;kg:reaction_glun
kg:reaction_cytbd;kg:reaction_mals
kg:reaction_cytbd;kg:reaction_pgl
kg:reaction_cytbd;kg:reaction_ppc
kg:reaction_cytbd;kg:reaction_pps
kg:reaction_cytbd;kg:reaction_act2r
kg:reaction_cytbd;kg:reaction_akgt2r
kg:reaction_cytbd;kg:reaction_d_lact2
kg:reaction_cytbd;kg:reaction_etoht2r
kg:reaction_cytbd;kg:reaction_fort2
kg:reaction_cytbd;kg:reaction_glut2r
kg:reaction_cytbd;kg:reaction_pit2r
kg:reaction_cytbd;kg:reaction_pyrt2
kg:reaction_cytbd;kg:reaction_succt3
kg:reaction_cytbd;kg:reaction_nadh16
kg:reaction_cytbd;kg:reaction_sucdi
kg:reaction_d_lact2;kg:reaction_glusy
kg:reaction_d_lact2;kg:reaction_pyk
kg:reaction_eno;kg:reaction_acontb
kg:reaction_eno;kg:reaction_atpm
kg:reaction_eno;kg:reaction_cs
kg:reaction_eno;kg:reaction_fbp
kg:reaction_eno;kg:reaction_fum
kg:reaction_eno;kg:reaction_glnabc
kg:reaction_eno;kg:reaction_gludy
kg:reaction_eno;kg:reaction_glun
kg:reaction_eno;kg:reaction_mals
kg:reaction_eno;kg:reaction_pgl
kg:reaction_eno;kg:reaction_ppc
kg:reaction_eno;kg:reaction_pps
kg:reaction_eno;kg:reaction_frupts2
kg:reaction_eno;kg:reaction_glcpts
kg:reaction_eno;kg:reaction_ppc
kg:reaction_eno;kg:reaction_pyk
kg:reaction_etoht2r;kg:reaction_glusy
kg:reaction_etoht2r;kg:reaction_pyk
kg:reaction_etoht2r;kg:reaction_alcd2x
kg:reaction_fba;kg:reaction_gapd
kg:reaction_fba;kg:reaction_tala
kg:reaction_fba;kg:reaction_tpi
kg:reaction_fbp;kg:reaction_atps4r
kg:reaction_fbp;kg:reaction_gapd
kg:reaction_fbp;kg:reaction_ptar
kg:reaction_fbp;kg:reaction_mals
kg:reaction_fort2;kg:reaction_glusy
kg:reaction_fort2;kg:reaction_pyk
kg:reaction_frd7;kg:reaction_nadh16
kg:reaction_frd7;kg:reaction_sucdi
kg:reaction_frd7;kg:reaction_succt3
kg:reaction_frd7;kg:reaction_sucdi
kg:reaction_frd7;kg:reaction_sucoas
kg:reaction_frupts2;kg:reaction_mals
kg:reaction_frupts2;kg:reaction_pdh
kg:reaction_frupts2;kg:reaction_pps
kg:reaction_fumt2_2;kg:reaction_glusy
kg:reaction_fumt2_2;kg:reaction_pyk
kg:reaction_fumt2_2;kg:reaction_frd7
kg:reaction_fumt2_2;kg:reaction_fum
kg:reaction_g6pdh2r;kg:reaction_glusy
kg:reaction_g6pdh2r;kg:reaction_pyk
kg:reaction_g6pdh2r;kg:reaction_glusy
kg:reaction_g6pdh2r;kg:reaction_nadtrhd
kg:reaction_g6pdh2r;kg:reaction_pgl
kg:reaction_gapd;kg:reaction_glusy
kg:reaction_gapd;kg:reaction_pyk
kg:reaction_gapd;kg:reaction_nadh16
kg:reaction_gapd;kg:reaction_thd2
kg:reaction_glcpts;kg:reaction_g6pdh2r
kg:reaction_glcpts;kg:reaction_pgi
kg:reaction_glcpts;kg:reaction_pdh
kg:reaction_glcpts;kg:reaction_pps
kg:reaction_glnabc;kg:reaction_glusy
kg:reaction_glnabc;kg:reaction_pyk
kg:reaction_glnabc;kg:reaction_atps4r
kg:reaction_glnabc;kg:reaction_pyk
kg:reaction_glnabc;kg:reaction_atps4r
kg:reaction_glnabc;kg:reaction_gapd
kg:reaction_glnabc;kg:reaction_ptar
kg:reaction_glns;kg:reaction_glusy
kg:reaction_glns;kg:reaction_pyk
kg:reaction_glns;kg:reaction_atps4r
kg:reaction_glns;kg:reaction_pyk
kg:reaction_glns;kg:reaction_atps4r
kg:reaction_glns;kg:reaction_gapd
kg:reaction_glns;kg:reaction_ptar
kg:reaction_gludy;kg:reaction_glusy
kg:reaction_gludy;kg:reaction_pyk
kg:reaction_gludy;kg:reaction_akgdh
kg:reaction_gludy;kg:reaction_glusy
kg:reaction_gludy;kg:reaction_glusy
kg:reaction_gludy;kg:reaction_nadtrhd
kg:reaction_gludy;kg:reaction_glns
kg:reaction_glun;kg:reaction_glns
kg:reaction_glusy;kg:reaction_g6pdh2r
kg:reaction_glusy;kg:reaction_gludy
kg:reaction_glusy;kg:reaction_gnd
kg:reaction_glusy;kg:reaction_icdhyr
kg:reaction_glusy;kg:reaction_me2
kg:reaction_glusy;kg:reaction_thd2
kg:reaction_glut2r;kg:reaction_glusy
kg:reaction_glut2r;kg:reaction_pyk
kg:reaction_gnd;kg:reaction_ppc
kg:reaction_gnd;kg:reaction_glusy
kg:reaction_gnd;kg:reaction_nadtrhd
kg:reaction_h2ot;kg:reaction_acontb
kg:reaction_h2ot;kg:reaction_atpm
kg:reaction_h2ot;kg:reaction_cs
kg:reaction_h2ot;kg:reaction_fbp
kg:reaction_h2ot;kg:reaction_fum
kg:reaction_h2ot;kg:reaction_glnabc
kg:reaction_h2ot;kg:reaction_gludy
kg:reaction_h2ot;kg:reaction_glun
kg:reaction_h2ot;kg:reaction_mals
kg:reaction_h2ot;kg:reaction_pgl
kg:reaction_h2ot;kg:reaction_ppc
kg:reaction_h2ot;kg:reaction_pps
kg:reaction_icdhyr;kg:reaction_akgdh
kg:reaction_icdhyr;kg:reaction_glusy
kg:reaction_icdhyr;kg:reaction_ppc
kg:reaction_icdhyr;kg:reaction_glusy
kg:reaction_icdhyr;kg:reaction_nadtrhd
kg:reaction_icl;kg:reaction_mals
kg:reaction_icl;kg:reaction_succt3
kg:reaction_icl;kg:reaction_sucdi
kg:reaction_icl;kg:reaction_sucoas
kg:reaction_ldh_d;kg:reaction_glusy
kg:reaction_ldh_d;kg:reaction_pyk
kg:reaction_ldh_d;kg:reaction_nadh16
kg:reaction_ldh_d;kg:reaction_thd2
kg:reaction_ldh_d;kg:reaction_pdh
kg:reaction_ldh_d;kg:reaction_pps
kg:reaction_mals;kg:reaction_acald
kg:reaction_mals;kg:reaction_akgdh
kg:reaction_mals;kg:reaction_pdh
kg:reaction_mals;kg:reaction_sucoas
kg:reaction_mals;kg:reaction_glusy
kg:reaction_mals;kg:reaction_pyk
kg:reaction_mdh;kg:reaction_glusy
kg:reaction_mdh;kg:reaction_pyk
kg:reaction_mdh;kg:reaction_nadh16
kg:reaction_mdh;kg:reaction_thd2
kg:reaction_mdh;kg:reaction_cs
kg:reaction_me1;kg:reaction_nadh16
kg:reaction_me1;kg:reaction_thd2
kg:reaction_me1;kg:reaction_ppc
kg:reaction_me1;kg:reaction_pdh
kg:reaction_me1;kg:reaction_pps
kg:reaction_me2;kg:reaction_ppc
kg:reaction_me2;kg:reaction_glusy
kg:reaction_me2;kg:reaction_nadtrhd
kg:reaction_me2;kg:reaction_pdh
kg:reaction_me2;kg:reaction_pps
kg:reaction_nadh16;kg:reaction_acald
kg:reaction_nadh16;kg:reaction_akgdh
kg:reaction_nadh16;kg:reaction_alcd2x
