id,[reid]
13dpg_c,PGK
13dpg_c,GAPD
2pg_c,PGM
2pg_c,ENO
3pg_c,PGK
3pg_c,BIOMASS_Ecoli_core_w_GAM
3pg_c,PGM
6pgc_c,GND
6pgl_c,G6PDH2r
6pgl_c,PGL
ac_c,ACKr
ac_c,ACt2r
ac_e,ACt2r
ac_e,EX_ac_e
acald_c,ACALDt
acald_c,ACALD
acald_c,ALCD2x
acald_e,EX_acald_e
acald_e,ACALDt
accoa_c,CS
accoa_c,ACALD
accoa_c,PTAr
accoa_c,MALS
accoa_c,BIOMASS_Ecoli_core_w_GAM
acon_C_c,ACONTa
acon_C_c,ACONTb
actp_c,PTAr
actp_c,ACKr
akg_c,GLUSy
akg_c,ICDHyr
akg_c,AKGt2r
akg_c,GLUDy
akg_c,AKGDH
akg_e,AKGt2r
akg_e,EX_akg_e
cit_c,ACONTa
co2_c,CO2t
co2_c,ICDHyr
co2_c,PPC
co2_e,CO2t
co2_e,EX_co2_e
coa_c,PDH
coa_c,PTAr
coa_c,ACALD
coa_c,AKGDH
coa_c,PFL
coa_c,SUCOAS
dhap_c,FBA
dhap_c,TPI
e4p_c,TALA
e4p_c,TKT2
e4p_c,BIOMASS_Ecoli_core_w_GAM
etoh_c,ALCD2x
etoh_c,ETOHt2r
etoh_e,EX_etoh_e
etoh_e,ETOHt2r
f6p_c,PFK
f6p_c,TALA
f6p_c,TKT2
f6p_c,PGI
f6p_c,BIOMASS_Ecoli_core_w_GAM
fdp_c,FBP
fdp_c,FBA
for_c,FORt
for_e,FORt2
for_e,EX_for_e
fru_e,FRUpts2
fru_e,EX_fru_e
fum_c,FUM
fum_c,FRD7
fum_e,FUMt2_2
fum_e,EX_fum_e
g3p_c,GAPD
g3p_c,TKT1
g3p_c,TKT2
g3p_c,FBA
g3p_c,TALA
g3p_c,TPI
g3p_c,BIOMASS_Ecoli_core_w_GAM
g6p_c,PGI
g6p_c,G6PDH2r
g6p_c,BIOMASS_Ecoli_core_w_GAM
glc__D_e,GLCpts
glc__D_e,EX_glc__D_e
gln__L_c,GLUSy
gln__L_c,GLUN
gln__L_c,BIOMASS_Ecoli_core_w_GAM
gln__L_e,EX_gln__L_e
gln__L_e,GLNabc
glu__L_c,GLNS
glu__L_c,GLUDy
glu__L_c,BIOMASS_Ecoli_core_w_GAM
glu__L_c,GLUt2r
glu__L_e,EX_glu__L_e
glu__L_e,GLUt2r
glx_c,MALS
h2o_e,EX_h2o_e
h2o_e,H2Ot
icit_c,ICDHyr
icit_c,ICL
icit_c,ACONTb
lac__D_c,D_LACt2
lac__D_c,LDH_D
lac__D_e,D_LACt2
lac__D_e,EX_lac__D_e
mal__L_c,ME1
mal__L_c,FUM
mal__L_c,ME2
mal__L_c,MDH
mal__L_e,MALt2_2
mal__L_e,EX_mal__L_e
nh4_e,EX_nh4_e
nh4_e,NH4t
oaa_c,CS
oaa_c,MDH
oaa_c,PPCK
oaa_c,BIOMASS_Ecoli_core_w_GAM
pep_c,FRUpts2
pep_c,GLCpts
pep_c,PYK
pep_c,PPC
pep_c,ENO
pep_c,BIOMASS_Ecoli_core_w_GAM
pi_e,PIt2r
pi_e,EX_pi_e
pyr_c,PDH
pyr_c,PPS
pyr_c,LDH_D
pyr_c,PYRt2
pyr_c,PFL
pyr_c,BIOMASS_Ecoli_core_w_GAM
pyr_e,EX_pyr_e
pyr_e,PYRt2
q8_c,SUCDi
q8_c,NADH16
q8h2_c,FRD7
q8h2_c,CYTBD
r5p_c,RPI
r5p_c,TKT1
r5p_c,BIOMASS_Ecoli_core_w_GAM
ru5p__D_c,RPE
ru5p__D_c,RPI
s7p_c,TKT1
s7p_c,TALA
succ_c,SUCCt3
succ_c,SUCDi
succ_c,SUCOAS
succ_e,EX_succ_e
succ_e,SUCCt2_2
succoa_c,SUCOAS
xu5p__D_c,TKT1
xu5p__D_c,TKT2
xu5p__D_c,RPE
ACALD,coa_c
ACALD,acald_c
ACALD,accoa_c
ACALDt,acald_e
ACALDt,acald_c
ACKr,actp_c
ACKr,ac_c
ACONTa,acon_C_c
ACONTa,cit_c
ACONTb,icit_c
ACONTb,acon_C_c
ACt2r,ac_c
ACt2r,ac_e
AKGDH,succoa_c
AKGDH,co2_c
AKGt2r,akg_c
AKGt2r,akg_e
ALCD2x,acald_c
ALCD2x,etoh_c
BIOMASS_Ecoli_core_w_GAM,akg_c
BIOMASS_Ecoli_core_w_GAM,coa_c
CO2t,co2_c
CO2t,co2_e
CS,coa_c
CS,cit_c
CYTBD,q8_c
D_LACt2,lac__D_c
D_LACt2,lac__D_e
ENO,pep_c
ENO,2pg_c
ETOHt2r,etoh_e
ETOHt2r,etoh_c
EX_co2_e,co2_e
EX_glc__D_e,glc__D_e
EX_h2o_e,h2o_e
EX_nh4_e,nh4_e
EX_pi_e,pi_e
FBA,fdp_c
FBA,g3p_c
FBA,dhap_c
FBP,f6p_c
FORt,for_e
FORt2,for_c
FRD7,succ_c
FRD7,q8_c
FRUpts2,pyr_c
FRUpts2,f6p_c
FUM,mal__L_c
FUM,fum_c
FUMt2_2,fum_c
G6PDH2r,g6p_c
G6PDH2r,6pgl_c
GAPD,13dpg_c
GAPD,g3p_c
GLCpts,pyr_c
GLCpts,g6p_c
GLNS,gln__L_c
GLNabc,gln__L_c
GLUDy,glu__L_c
GLUDy,akg_c
GLUN,glu__L_c
GLUSy,glu__L_c
GLUt2r,glu__L_c
GLUt2r,glu__L_e
GND,ru5p__D_c
GND,co2_c
H2Ot,h2o_e
ICDHyr,icit_c
ICDHyr,co2_c
